year,circuit,lap,passer,passed,rel_distance,n_crossings,resolved
2025,Australian Grand Prix,14,ANT,HUL,0.7823,1,True
2025,Australian Grand Prix,16,HUL,ANT,0.24,1,True
2025,Australian Grand Prix,17,ANT,HUL,0.7824,1,True
2025,Australian Grand Prix,17,PIA,VER,0.7838,1,True
2025,Australian Grand Prix,19,LAW,OCO,0.6177,1,True
2025,Australian Grand Prix,22,ANT,STR,0.8072,1,True
2025,Australian Grand Prix,43,TSU,LEC,0.7533,1,True
2025,Australian Grand Prix,45,HAM,TSU,0.8798,1,True
2025,Australian Grand Prix,52,LEC,HAM,0.0772,1,True
2025,Australian Grand Prix,53,PIA,TSU,0.0587,1,True
2025,Australian Grand Prix,54,HAM,GAS,0.1889,1,True
2025,Australian Grand Prix,54,LEC,GAS,0.1552,1,True
2025,Australian Grand Prix,55,PIA,GAS,0.2128,1,True
2025,Australian Grand Prix,56,ANT,ALB,0.6196,1,True
2025,Australian Grand Prix,57,PIA,HAM,0.6123,1,True
2025,Chinese Grand Prix,16,HAM,BEA,0.8477,1,True
2025,Chinese Grand Prix,17,PIA,ALB,0.8735,1,True
2025,Chinese Grand Prix,17,OCO,HUL,0.827,1,True
2025,Chinese Grand Prix,17,TSU,HUL,0.7755,5,False
2025,Chinese Grand Prix,17,VER,LAW,0.0768,1,True
2025,Chinese Grand Prix,18,ANT,HUL,0.8241,1,True
2025,Chinese Grand Prix,18,VER,BEA,0.8612,1,True
2025,Chinese Grand Prix,18,HAD,HUL,0.8457,1,True
2025,Chinese Grand Prix,18,HAM,STR,0.8817,3,True
2025,Chinese Grand Prix,18,NOR,RUS,0.0665,1,True
2025,Chinese Grand Prix,19,NOR,ALB,0.8844,1,True
2025,Chinese Grand Prix,19,DOO,HUL,0.7902,1,True
2025,Chinese Grand Prix,19,GAS,HUL,0.1214,1,True
2025,Chinese Grand Prix,19,LEC,STR,0.0371,1,True
2025,Chinese Grand Prix,20,VER,STR,0.8544,1,True
2025,Chinese Grand Prix,21,LEC,HAM,0.1745,1,True
2025,Chinese Grand Prix,24,SAI,DOO,0.3752,1,True
2025,Chinese Grand Prix,32,BEA,DOO,0.8487,1,True
2025,Chinese Grand Prix,35,BEA,SAI,0.8682,1,True
2025,Chinese Grand Prix,39,STR,DOO,0.8741,1,True
2025,Chinese Grand Prix,40,BEA,GAS,0.1406,3,True
2025,Chinese Grand Prix,43,TSU,DOO,0.8208,1,True
2025,Chinese Grand Prix,43,STR,SAI,0.093,1,True
2025,Chinese Grand Prix,45,BOR,HUL,0.9107,1,True
2025,Chinese Grand Prix,53,VER,LEC,0.1544,3,True
2025,Japanese Grand Prix,2,SAI,HUL,0.5162,1,True
2025,Japanese Grand Prix,6,HAM,HAD,0.0958,1,True
2025,Japanese Grand Prix,22,RUS,GAS,0.6174,1,True
2025,Japanese Grand Prix,28,ALB,BOR,0.0639,1,True
2025,Japanese Grand Prix,29,ALB,OCO,0.1084,1,True
2025,Japanese Grand Prix,30,ALB,SAI,0.913,1,True
2025,Japanese Grand Prix,30,HAD,SAI,0.0948,1,True
2025,Japanese Grand Prix,31,HAD,LAW,0.6406,1,True
2025,Japanese Grand Prix,32,ALB,LAW,0.9206,1,True
2025,Japanese Grand Prix,33,GAS,DOO,0.109,1,True
2025,Japanese Grand Prix,36,SAI,LAW,0.0784,1,True
2025,Japanese Grand Prix,48,SAI,HUL,0.0667,1,True
2025,Japanese Grand Prix,50,SAI,DOO,0.0923,1,True
2025,Miami Grand Prix,4,NOR,ALB,0.5618,1,True
2025,Miami Grand Prix,4,PIA,ANT,0.5017,1,True
2025,Miami Grand Prix,4,HAM,HAD,0.0821,1,True
2025,Miami Grand Prix,5,SAI,ALB,0.4925,1,True
2025,Miami Grand Prix,7,NOR,RUS,0.1995,1,True
2025,Miami Grand Prix,9,GAS,ALO,0.5884,1,True
2025,Miami Grand Prix,9,NOR,ANT,0.5559,1,True
2025,Miami Grand Prix,14,ALB,SAI,0.6041,3,True
2025,Miami Grand Prix,14,PIA,VER,0.0797,4,False
2025,Miami Grand Prix,18,NOR,VER,0.5494,1,True
2025,Miami Grand Prix,22,HAM,OCO,0.8547,3,True
2025,Miami Grand Prix,27,GAS,BEA,0.9018,1,True
2025,Miami Grand Prix,38,HAM,LEC,0.8623,1,True
2025,Miami Grand Prix,52,LEC,HAM,0.5686,1,True
2025,Canadian Grand Prix,11,NOR,ALO,0.7193,1,True
2025,Canadian Grand Prix,12,ALB,HAD,0.8316,7,False
2025,Canadian Grand Prix,13,LEC,ALO,0.7836,1,True
2025,Canadian Grand Prix,13,OCO,BEA,0.1078,1,True
2025,Canadian Grand Prix,16,SAI,BOR,0.5986,1,True
2025,Canadian Grand Prix,16,TSU,BOR,0.8512,1,True
2025,Canadian Grand Prix,17,ANT,HUL,0.4401,1,True
2025,Canadian Grand Prix,17,SAI,BEA,0.8367,1,True
2025,Canadian Grand Prix,19,OCO,ALB,0.8228,1,True
2025,Canadian Grand Prix,19,ALO,GAS,0.5732,1,True
2025,Canadian Grand Prix,20,HAM,ALB,0.0096,2,True
2025,Canadian Grand Prix,20,SAI,ALB,0.1392,1,True
2025,Canadian Grand Prix,20,ALO,LAW,0.8723,5,False
2025,Canadian Grand Prix,20,HAM,OCO,0.8777,1,True
2025,Canadian Grand Prix,21,TSU,ALB,0.789,1,True
2025,Canadian Grand Prix,21,ALO,STR,0.4198,1,True
2025,Canadian Grand Prix,22,BOR,ALB,0.8507,1,True
2025,Canadian Grand Prix,23,ALO,BOR,0.8153,3,True
2025,Canadian Grand Prix,26,RUS,LEC,0.7827,1,True
2025,Canadian Grand Prix,28,ALO,TSU,0.8348,1,True
2025,Canadian Grand Prix,33,ALO,SAI,0.8618,1,True
2025,Canadian Grand Prix,34,HUL,GAS,0.8318,1,True
2025,Canadian Grand Prix,35,COL,GAS,0.8482,1,True
2025,Canadian Grand Prix,35,HUL,LAW,0.8592,1,True
